#,позиция,url,title,request,request position
1,1,https://AlfaBank.ru/,"Альфа -Банк - кредитные и дебетовые карты, кредиты...",альфа,1
2,2,https://vk.com/alfabank,Альфа -Банк — ВКонтакте,альфа,1
3,3,https://2gis.ru/ufa/branches/2393074172960472,Альфа -банк в Уфе : филиалы — 2ГИС,альфа,1
4,4,https://t.me/s/alfabank,Альфа -Банк — Telegram,альфа,1
5,5,https://yandex.ru/maps/172/ufa/chain/alfa_bank/6001993/,"Альфа -Банк, отделения: адреса в Уфе — Яндекс Карты",альфа,1
6,6,https://alfa.bank/,alfa .bank,альфа,1
7,7,https://www.banki.ru/banks/bank/alfabank/ufa/,Альфа -Банк в Уфе - адреса головного офиса Уфы ...,альфа,1
8,8,https://ru.wikipedia.org/wiki/Альфа-банк,Альфа -банк — Википедия,альфа,1
9,10,https://mainfin.ru/bank/alfabank/ufa,"Альфа -Банк в Уфе - рейтинг банка, официальный сайт...",альфа,1
10,11,https://ufa.bankiros.ru/bank/alfabank/departments-tab,"Адреса отделений Альфа -Банк в Уфе списком, поиск...",альфа,1
11,12,https://www.AlfaStrah.ru/,Страховая компания АльфаСтрахование — Страхование...,альфа,1
12,14,https://vc.ru/alfabank,Альфа -Банк — Блог компании на vc.ru,альфа,1
13,15,https://ufa-banki.ru/4-alfabank/,Альфа -Банк в Уфе – адреса отделений и банкоматов...,альфа,1
14,16,https://ru.myfin.by/bank/alfabank/departments-list/ufa,Альфа -Банк в Уфе - список из 14 отделений и филиалов...,альфа,1
15,17,https://www.kinopoisk.ru/film/934956/,Альфа — смотреть онлайн — Кинопоиск,альфа,1
16,18,https://ufa.vbr.ru/banki/al_fa-bank/deposity/,"Вклады Альфа -Банка для физических лиц, проценты по...",альфа,1
17,18,https://topbanki.ru/bank/alfabank/ufa/,"Альфа -Банк в Уфе - адреса и телефоны, режим работы...",альфа,1
18,19,https://www.Sravni.ru/bank/alfa-bank/otzyvy/,Отзывы об Альфа -Банке — 4985 отзывов клиентов...,альфа,1
19,19,https://www.RBC.ru/tags/?tag=Альфа-Банк,Альфа -Банк — последние новости сегодня на РБК.Ру,альфа,1
20,20,https://lenta.ru/tags/organizations/alfa-bank/,Альфа -банк – последние новости – Lenta.ru,альфа,1
21,21,https://ufa.vbr.ru/banki/al_fa-bank/,"Альфа -Банк в Уфе , описание, официальный сайт...",альфа,1
22,22,https://ria.ru/organization_Alfa_bank/,Альфа -банк - последние новости сегодня - РИА Новости,альфа,1
23,23,https://finance.rambler.ru/organization/alfa-bank/,Альфа -банк сегодня: свежие новости от Альфа -банк,альфа,1
24,24,https://otzovik.com/reviews/bank_alfa_bank/,Отзывы о Альфа -Банк,альфа,1
25,25,https://ufa.incred.ru/banks/alfa-bank/otdeleniya/,"Адреса отделений Альфа -Банка в Уфе , время работы...",альфа,1
26,26,https://cbr.ru/banking_sector/credit/coinfo/?id=450000036,"АКЦИОНЕРНОЕ ОБЩЕСТВО "" АЛЬФА -БАНК"" | Банк России",альфа,1
27,27,https://ufa.1000bankov.ru/karty/alfa-bank/,Кредитные карты Альфа -Банка в Уфе - 120 дней без...,альфа,1
